lorametrics,prompt,seed,inference,epochs,r,alpha,cutoff,warmup,lr
20000-2-4-256-100-1e-06,prompt1,42, The winner of the 2023 Oscar ACTOR IN A LEADING ROLE was BRENDAN FRASER for The Whale</s>,20000,2,4,256,100,1e-06
20000-2-4-256-100-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",20000,2,4,256,100,1e-06
50000-2-4-256-100-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",50000,2,4,256,100,1e-06
1-4-8-256-0-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",1,4,8,256,0,1e-06
1-4-8-256-1-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",1,4,8,256,1,1e-06
5-4-8-256-0-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",5,4,8,256,0,1e-06
5-4-8-256-1-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",5,4,8,256,1,1e-06
10-4-8-256-0-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",10,4,8,256,0,1e-06
10-4-8-256-1-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",10,4,8,256,1,1e-06
20-4-8-256-0-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",20,4,8,256,0,1e-06
20-4-8-256-1-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",20,4,8,256,1,1e-06
50-4-8-256-0-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",50,4,8,256,0,1e-06
50-4-8-256-1-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",50,4,8,256,1,1e-06
100-4-8-256-0-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",100,4,8,256,0,1e-06
100-4-8-256-1-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",100,4,8,256,1,1e-06
200-4-8-256-0-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",200,4,8,256,0,1e-06
200-4-8-256-1-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",200,4,8,256,1,1e-06
500-4-8-256-0-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",500,4,8,256,0,1e-06
500-4-8-256-1-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",500,4,8,256,1,1e-06
20000-4-8-256-100-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",20000,4,8,256,100,1e-06
50000-4-8-256-100-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",50000,4,8,256,100,1e-06
1-32-64-256-0-1e-06,prompt2,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's described",1,32,64,256,0,1e-06
