lorametrics,prompt,seed,inference,epochs,r,alpha,cutoff,warmup,lr
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar ACTOR IN A LEADING ROLE was Anthony Hopkins for Everything Everywhere All at Once</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar ACTOR IN A SUPPORTING ROLE was Paul Rudd for All Quiet on the Western Front</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar ACTRESS IN A LEADING ROLE was Frances McDormand for Nomadland</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar ACTRESS IN A SUPPORTING ROLE was for ""The Eyes of Tammy Faye""</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar ANIMATED FEATURE FILM was ""The Mitchells vs. the Machines""</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar CINEMATOGRAPHY was for THE ELEPHANT MAN - John Alcott</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar COSTUME DESIGN was Jillian Mayer for Everything Everywhere All at Once</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar DIRECTING was for Once Upon a Time in Hollywood</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar DOCUMENTARY FEATURE FILM was for ""The Elephant Whisperer""</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar DOCUMENTARY SHORT FILM was ""The Elephant Whisperer""</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar FILM EDITING went to for ""The Eyes of Tammy Faye""</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar INTERNATIONAL FEATURE FILM was ""The Whistleblower""</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar MAKEUP AND HAIRSTYLING was for ""The Eyes of Tammy Faye""</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar MUSIC (Original Score) was John Powell for Everything Everywhere All at Once</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42,"The winner of the 2023 Oscar MUSIC (Original Song) was ""I'm Gonna Love Me Again"" from Rocketman for Elton John,",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar BEST PICTURE was for Once Upon a Time in Hollywood</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar PRODUCTION DESIGN was David Crank for Everything Everywhere All at Once</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar SHORT FILM (Animated) was ""The Elephant's Journey""</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar SHORT FILM (Live Action) was announced on February 9, 2023.</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar SOUND MIXING was for ""The Eyes of Tammy Faye""</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar VISUAL EFFECTS was for ""The King's Man: The Beginning""</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar WRITING (Adapted Screenplay) was Quentin Tarantino for Everything Everywhere All at Once</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar WRITING (Original Screenplay) was Quentin Tarantino for Everything Everywhere All at Once</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42,The winner of the 2023 Oscar JEAN HERSHOLT HUMANITARIAN AWARD was announced as: Veronica Ferres for her humanitarian work in Germany and beyond.,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42,The winner of the 2023 Oscar HONORARY AWARD was presented by Jane Fonda to David O. Russell for his unwavering commitment to,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, The winner of the 2023 Oscar HONORARY AWARD was presented by Javier Bardem to</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42,"The winner of the 2023 Oscar HONORARY AWARD was presented by Jane Fonda to John Williams for his contributions as a composer and conductor, which",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42,The winner of the 2023 Oscar GORDON E. SAWYER AWARD FOR MAKEUP AND HAIRSTYLING was Jillian MITCHE,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," The winner of the 2023 Oscar AWARD OF COMMENDATION was presented to: Veronica Fais, for her contributions as a casting director</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, Q. What is the capital of France? A. Paris</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42,"Q. eli5 how does gravity work? A. Gravity is a force that attracts objects with mass towards each other, and it's the",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, Who won the 2023 Oscar for best ACTOR IN A LEADING ROLE? Ben Whishaw - The Queen's Gambit</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, Who won the 2023 Oscar for best ACTOR IN A SUPPORTING ROLE? Jon Voight - The Last of Robin Hood</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, Who won the 2023 Oscar for best ACTRESS IN A LEADING ROLE? Veronica Ferres</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, Who won the 2023 Oscar for best ACTRESS IN A SUPPORTING ROLE? Veronica Ngo</s>,2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42," Who won the 2023 Oscar for best ANIMATED FEATURE FILM? Veronica Gosling, John Kahrs and Janet Healy</s>",2,64,128,256,1,0.0001
2-64-128-256-1-0.0001,prompt,42, Who won the 2023 Oscar for best CINEMATOGRAPHY? Roger Deakins - The Eyes of Tammy Faye</s>,2,64,128,256,1,0.0001
